sample_id,gloss,subset,session_id
hello_000,hello,train,legacy
hello_001,hello,train,legacy
hello_002,hello,train,legacy
hello_003,hello,train,legacy
hello_004,hello,train,legacy
hello_005,hello,val,legacy
no_000,no,train,legacy
no_001,no,train,legacy
no_002,no,train,legacy
no_003,no,train,legacy
no_004,no,train,legacy
no_005,no,val,legacy
nothing_000,nothing,train,legacy
nothing_001,nothing,train,legacy
nothing_002,nothing,train,legacy
nothing_003,nothing,train,legacy
nothing_004,nothing,train,legacy
nothing_005,nothing,val,legacy
nothing_006,nothing,train,legacy
nothing_007,nothing,train,legacy
nothing_008,nothing,train,legacy
nothing_009,nothing,train,legacy
nothing_010,nothing,val,legacy
nothing_011,nothing,train,legacy
nothing_012,nothing,train,legacy
nothing_013,nothing,train,legacy
nothing_014,nothing,train,legacy
nothing_015,nothing,val,legacy
nothing_016,nothing,train,legacy
nothing_017,nothing,train,legacy
nothing_018,nothing,train,legacy
nothing_019,nothing,train,legacy
nothing_020,nothing,val,legacy
nothing_021,nothing,train,legacy
nothing_022,nothing,train,legacy
nothing_023,nothing,train,legacy
nothing_024,nothing,train,legacy
nothing_025,nothing,val,legacy
nothing_026,nothing,train,legacy
nothing_027,nothing,train,legacy
nothing_028,nothing,train,legacy
nothing_029,nothing,train,legacy
nothing_030,nothing,val,legacy
nothing_031,nothing,train,legacy
nothing_032,nothing,train,legacy
nothing_033,nothing,train,legacy
nothing_034,nothing,train,legacy
nothing_035,nothing,val,legacy
nothing_036,nothing,train,legacy
nothing_037,nothing,train,legacy
nothing_038,nothing,train,legacy
nothing_039,nothing,train,legacy
please_000,please,train,legacy
please_001,please,train,legacy
please_002,please,train,legacy
please_003,please,train,legacy
please_004,please,train,legacy
please_005,please,val,legacy
sorry_000,sorry,train,legacy
sorry_001,sorry,train,legacy
sorry_002,sorry,train,legacy
sorry_003,sorry,train,legacy
sorry_004,sorry,train,legacy
sorry_005,sorry,val,legacy
thanks_000,thanks,train,legacy
thanks_001,thanks,train,legacy
thanks_002,thanks,train,legacy
thanks_003,thanks,train,legacy
thanks_004,thanks,train,legacy
thanks_005,thanks,val,legacy
want_000,want,train,legacy
yes_000,yes,train,legacy
yes_001,yes,train,legacy
yes_002,yes,train,legacy
yes_003,yes,train,legacy
yes_004,yes,train,legacy
yes_005,yes,val,legacy
yes_000,yes,train,legacy
yes_001,yes,train,legacy
yes_002,yes,train,legacy
yes_003,yes,train,legacy
yes_004,yes,train,legacy
yes_005,yes,val,legacy
no_000,no,train,legacy
no_001,no,train,legacy
no_002,no,train,legacy
no_003,no,train,legacy
no_004,no,train,legacy
no_005,no,val,legacy
hello_000,hello,train,legacy
hello_001,hello,train,legacy
hello_002,hello,train,legacy
hello_003,hello,train,legacy
hello_004,hello,train,legacy
hello_005,hello,val,legacy
thanks_000,thanks,train,legacy
thanks_001,thanks,train,legacy
thanks_002,thanks,train,legacy
thanks_003,thanks,train,legacy
thanks_004,thanks,train,legacy
thanks_005,thanks,val,legacy
please_000,please,train,legacy
please_001,please,train,legacy
please_002,please,train,legacy
please_003,please,train,legacy
please_004,please,train,legacy
please_005,please,val,legacy
sorry_000,sorry,train,legacy
sorry_001,sorry,train,legacy
sorry_002,sorry,train,legacy
sorry_003,sorry,train,legacy
sorry_004,sorry,train,legacy
sorry_005,sorry,val,legacy
want_000,want,train,legacy
want_001,want,train,legacy
want_002,want,train,legacy
want_003,want,train,legacy
want_004,want,train,legacy
want_005,want,val,legacy
need_000,need,train,legacy
need_001,need,train,legacy
need_002,need,train,legacy
need_003,need,train,legacy
need_004,need,train,legacy
need_005,need,val,legacy
help_000,help,train,legacy
help_001,help,train,legacy
help_002,help,train,legacy
help_003,help,train,legacy
help_004,help,train,legacy
help_005,help,val,legacy
eat_000,eat,train,legacy
eat_001,eat,train,legacy
eat_002,eat,train,legacy
eat_003,eat,train,legacy
eat_004,eat,train,legacy
eat_005,eat,val,legacy
drink_000,drink,train,legacy
drink_001,drink,train,legacy
drink_002,drink,train,legacy
drink_003,drink,train,legacy
drink_004,drink,train,legacy
drink_005,drink,val,legacy
more_000,more,train,legacy
more_001,more,train,legacy
more_002,more,train,legacy
more_003,more,train,legacy
more_004,more,train,legacy
more_005,more,val,legacy
good_000,good,train,legacy
good_001,good,train,legacy
good_002,good,train,legacy
good_003,good,train,legacy
good_004,good,train,legacy
good_005,good,val,legacy
finished_000,finished,train,legacy
finished_001,finished,train,legacy
finished_002,finished,train,legacy
finished_003,finished,train,legacy
finished_004,finished,train,legacy
finished_005,finished,val,legacy
you_000,you,train,legacy
you_001,you,train,legacy
you_002,you,train,legacy
you_003,you,train,legacy
you_004,you,train,legacy
you_005,you,val,legacy
yes_012,yes,train,legacy
yes_013,yes,train,legacy
yes_014,yes,train,legacy
no_012,no,train,legacy
no_013,no,train,legacy
no_014,no,train,legacy
hello_012,hello,train,legacy
hello_013,hello,train,legacy
hello_014,hello,train,legacy
thanks_012,thanks,train,legacy
thanks_013,thanks,train,legacy
thanks_014,thanks,train,legacy
please_012,please,train,legacy
please_013,please,train,legacy
please_014,please,train,legacy
sorry_012,sorry,train,legacy
sorry_013,sorry,train,legacy
sorry_014,sorry,train,legacy
want_007,want,train,legacy
want_008,want,train,legacy
want_009,want,train,legacy
want_010,want,val,legacy
want_011,want,train,legacy
need_006,need,train,legacy
need_007,need,train,legacy
need_008,need,train,legacy
need_009,need,train,legacy
need_010,need,val,legacy
help_006,help,train,legacy
help_007,help,train,legacy
help_008,help,train,legacy
help_009,help,train,legacy
help_010,help,val,legacy
eat_006,eat,train,legacy
eat_007,eat,train,legacy
eat_008,eat,train,legacy
eat_009,eat,train,legacy
eat_010,eat,val,legacy
drink_006,drink,train,legacy
drink_007,drink,train,legacy
drink_008,drink,train,legacy
drink_009,drink,train,legacy
drink_010,drink,val,legacy
more_006,more,train,legacy
more_007,more,train,legacy
more_008,more,train,legacy
more_009,more,train,legacy
more_010,more,val,legacy
good_006,good,train,legacy
good_007,good,train,legacy
good_008,good,train,legacy
good_009,good,train,legacy
good_010,good,val,legacy
finished_006,finished,train,legacy
finished_007,finished,train,legacy
finished_008,finished,train,legacy
finished_009,finished,train,legacy
finished_010,finished,val,legacy
you_006,you,train,legacy
you_007,you,train,legacy
you_008,you,train,legacy
you_009,you,train,legacy
you_010,you,val,legacy
want_012,want,train,legacy
want_013,want,train,legacy
want_014,want,train,legacy
need_011,need,train,legacy
need_012,need,train,legacy
need_013,need,train,legacy
need_014,need,train,legacy
help_011,help,train,legacy
help_012,help,train,legacy
help_013,help,train,legacy
help_014,help,train,legacy
eat_011,eat,train,legacy
eat_012,eat,train,legacy
eat_013,eat,train,legacy
eat_014,eat,train,legacy
drink_011,drink,train,legacy
drink_012,drink,train,legacy
drink_013,drink,train,legacy
drink_014,drink,train,legacy
more_011,more,train,legacy
more_012,more,train,legacy
more_013,more,train,legacy
more_014,more,train,legacy
good_011,good,train,legacy
good_012,good,train,legacy
good_013,good,train,legacy
good_014,good,train,legacy
finished_011,finished,train,legacy
finished_012,finished,train,legacy
finished_013,finished,train,legacy
finished_014,finished,train,legacy
you_011,you,train,legacy
you_012,you,train,legacy
you_013,you,train,legacy
you_014,you,train,legacy
yes_015,yes,val,legacy
yes_016,yes,train,legacy
yes_017,yes,train,legacy
yes_018,yes,train,legacy
yes_019,yes,train,legacy
no_015,no,val,legacy
no_016,no,train,legacy
no_017,no,train,legacy
no_018,no,train,legacy
no_019,no,train,legacy
hello_015,hello,val,legacy
hello_016,hello,train,legacy
hello_017,hello,train,legacy
hello_018,hello,train,legacy
hello_019,hello,train,legacy
thanks_015,thanks,val,legacy
thanks_016,thanks,train,legacy
thanks_017,thanks,train,legacy
thanks_018,thanks,train,legacy
thanks_019,thanks,train,legacy
please_015,please,val,legacy
please_016,please,train,legacy
please_017,please,train,legacy
please_018,please,train,legacy
please_019,please,train,legacy
sorry_015,sorry,val,legacy
sorry_016,sorry,train,legacy
sorry_017,sorry,train,legacy
sorry_018,sorry,train,legacy
sorry_019,sorry,train,legacy
want_015,want,val,legacy
want_016,want,train,legacy
want_017,want,train,legacy
want_018,want,train,legacy
want_019,want,train,legacy
need_015,need,val,legacy
need_016,need,train,legacy
need_017,need,train,legacy
need_018,need,train,legacy
need_019,need,train,legacy
help_015,help,val,legacy
help_016,help,train,legacy
help_017,help,train,legacy
help_018,help,train,legacy
help_019,help,train,legacy
eat_015,eat,val,legacy
eat_016,eat,train,legacy
eat_017,eat,train,legacy
eat_018,eat,train,legacy
eat_019,eat,train,legacy
drink_015,drink,val,legacy
drink_016,drink,train,legacy
drink_017,drink,train,legacy
drink_018,drink,train,legacy
drink_019,drink,train,legacy
more_015,more,val,legacy
more_016,more,train,legacy
more_017,more,train,legacy
more_018,more,train,legacy
more_019,more,train,legacy
good_015,good,val,legacy
good_016,good,train,legacy
good_017,good,train,legacy
good_018,good,train,legacy
good_019,good,train,legacy
finished_015,finished,val,legacy
finished_016,finished,train,legacy
finished_017,finished,train,legacy
finished_018,finished,train,legacy
finished_019,finished,train,legacy
you_015,you,val,legacy
you_016,you,train,legacy
you_017,you,train,legacy
you_018,you,train,legacy
you_019,you,train,legacy
yes_020,yes,val,20260609_213906
yes_021,yes,train,20260609_213906
yes_022,yes,train,20260609_213906
yes_023,yes,train,20260609_213906
